Date,priceUSD,price3smaUSD,price7smaUSD,price14smaUSD,price30smaUSD,price3emaUSD,price7emaUSD,price14emaUSD,price30emaUSD,price90emaUSD,price3wmaUSD,price7wmaUSD,price14wmaUSD,price30wmaUSD,price90wmaUSD,transactionvalue90smaUSD,price3momUSD,price90stdUSD
2010/07/17,0.0495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010/07/18,0.0726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010/07/19,0.0859,0.069,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010/07/20,0.0783,0.079,0.0,0.0,0.0,0.07400000000000001,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.028999999999999998,0.0
2010/07/21,0.0767,0.08,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,0.004,0.0
2010/07/22,0.0649,0.073,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,-0.021,0.0
2010/07/23,0.0566,0.066,0.069,0.0,0.0,0.063,0.069,0.0,0.0,0.0,0.063,0.069,0.0,0.0,0.0,0.0,-0.022000000000000002,0.0
2010/07/24,0.0581,0.06,0.07,0.0,0.0,0.061,0.066,0.0,0.0,0.0,0.059000000000000004,0.066,0.0,0.0,0.0,0.0,-0.019,0.0
2010/07/25,0.053,0.055999999999999994,0.068,0.0,0.0,0.057,0.063,0.0,0.0,0.0,0.055,0.062,0.0,0.0,0.0,0.0,-0.012,0.0
2010/07/26,0.053,0.055,0.063,0.0,0.0,0.055,0.061,0.0,0.0,0.0,0.054000000000000006,0.057999999999999996,0.0,0.0,0.0,0.0,-0.004,0.0
